Company Name,Instrument,Rating,Rating Date,Urgency,Outlook,Current Rater,Sector,Why Target
Kalpataruvu Spinning Mills Private Limited,Long Term Bank Facilities,IVR D (INC)(Downgraded),2024-12-16,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Platinum Textiles Limited,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-03-31,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Platinum Textiles Limited,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-03-31,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Kalpataruvu Spinning Mills Private Limited,Long Term Bank Facilities,IVR D (INC)(Downgraded),2024-12-16,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Platinum Textiles Limited,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-03-31,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Platinum Textiles Limited,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-03-31,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Murugavilas Textiles (MVT),Long Term Fund Based Facility - OCC,IVR B- (INC)(Reaffirmed),2025-05-07,HIGH,Negative,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Murugavilas Textiles (MVT),Long Term Fund Based Facility - Term Loan,IVR B- (INC)(Reaffirmed),2025-05-07,HIGH,Negative,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Goddess Textiles Private Limited,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-01-22,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Sri Vasudeva Textiles Private Limited,Long Term Bank Facilities - Term Loan,IVR BB- (INC)(Downgraded),2024-12-18,HIGH,Negative,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Sri Vasudeva Textiles Private Limited,Long Term Bank Facilities - Cash Credit,IVR BB- (INC)(Downgraded),2024-12-18,HIGH,Negative,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Shri Vasudeva Weaving Mills Private Limited,Long Term Bank Facilities - Term Loan,IVR BB- (INC)(Downgraded),2024-12-18,HIGH,Negative,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Shri Vasudeva Weaving Mills Private Limited,Long Term Bank Facilities - Cash Credit,IVR BB- (INC)(Downgraded),2024-12-18,HIGH,Negative,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Avi Ansh Textile Limited,Long Term Bank Facilities,IVR BBB- (Upgraded),2025-01-29,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Avi Ansh Textile Limited,Short Term Bank Facilities,IVR A3 (Upgraded),2025-01-29,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Sivaguru Spinning Mills Private Limited,Long Term Facilities,IVR B (INC)(Downgraded),2025-02-12,HIGH,Negative,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Sivaguru Spinning Mills Private Limited,Short Term Facilities,IVR A4 (INC)(Reaffirmed),2025-02-12,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Bansal Spinning Mills Private Limited,Long Term Bank Facilities,IVR BBB+ (Upgraded),2025-06-11,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Bansal Spinning Mills Private Limited,Short Term Bank Facilities,IVR A2 (Upgraded),2025-06-11,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Bansal Spinning Mills Private Limited,Long Term Bank Facilities,IVR BBB (Reaffirmed),2025-06-11,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Bansal Spinning Mills Private Limited,Short Term Bank Facilities,IVR A3+ (Reaffirmed),2025-06-11,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Globe Textiles India Limited,Long Term Facilities,IVR BBB- (Reaffirmed),2025-03-21,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Globe Textiles India Limited,Short Term Facilities,IVR A3 (Reaffirmed),2025-03-21,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Sri Bhagirath Textiles Limited,Long Term Facilities,IVR BBB+,2025-04-03,HIGH,Positive,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Sri Bhagirath Textiles Limited,Short Term Facilities,IVR A2 (Reaffirmed),2025-04-03,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Shital Fibres Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-03-12,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Fiberweb India Limited,Long Term Bank Facilities,IVR BBB- (Assigned),2024-12-02,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Fiberweb India Limited,Short Term Bank Facilities,IVR A3 (Assigned),2024-12-02,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Nachiar Spinning Mills Private Limited,Long Term Facilities,IVR BB- (Assigned),2025-02-06,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Nachiar Spinning Mills Private Limited,Short Term Facilities,IVR A4 (Assigned),2025-02-06,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Rakshitam Ecofibre Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),2025-02-07,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Rakshitam Ecofibre Private Limited,Short Term Bank Facilities,IVR A3 (Assigned),2025-02-07,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Rakshitam Ecofibre Private Limited,Long Term/Short Term Bank Facilities,IVR BBB-/IVR A3; (Assigned),2025-02-07,HIGH,Stable/-,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Jindal Textile Industries Limited,Long Term Bank Facility,IVR BB+ (Assigned),2025-03-04,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Jindal Textile Industries Limited,Short Term Bank Facility,IVR A4+ (Assigned),2025-03-04,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Rajmahal Retail Private Limited (erstwhile Rajmahal Silks and Textiles Private Limited),Long Term Facilities,IVR BBB- (Assigned),2025-03-07,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Lodz Denim Private Limited,Long Term Bank Facilities,IVR BB+ (Assigned),2025-04-02,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Lodz Denim Private Limited,Short Term Bank Facilities,IVR A4+ (Assigned),2025-04-02,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
M.M. Yarns Private Limited,Long Term Facilities,IVR BBB- (Assigned),2025-05-01,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
M.M. Yarns Private Limited,Short Term Facilities,IVR A3 (Assigned),2025-05-01,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
F T Textiles Private Limited,Long Term Bank Facilities- Term Loan,IVR BB+ (Assigned),2025-05-02,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
F T Textiles Private Limited,Long Term Bank Facilities- Cash Credit,IVR BB+ (Assigned),2025-05-02,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
F T Textiles Private Limited,Proposed Bank Facilities- Term Loan,IVR BB+ (Assigned),2025-05-02,HIGH,Stable,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Srikunj Weaving Private Limited,Long Term Bank Facilities,IVR BB+ (Reaffirmed),2025-03-26,HIGH,Positive,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
Srikunj Weaving Private Limited,Short Term Bank Facilities,IVR A4+ (Reaffirmed),2025-03-26,HIGH,Nil,Infomerics,Textiles,HIGH urgency rating in Textiles sector — overdue for renewal.
